time,latitude,longitude,distanceinmeters,heartrate,HHMMSS,meters,seconds,mph
2021-05-18T22:28:39.000Z,32.877359222620726,-117.14717363007367,2363.219970703125,65,22:28:39.000Z,55.340087890625,6,20.632629435221357
2021-05-18T22:28:45.000Z,32.87749333307147,-117.14770990423858,2415.659912109375,65,22:28:45.000Z,52.43994140625,6,19.551358154296874
2021-05-18T22:28:51.000Z,32.87747715599835,-117.14834625832736,2475.510009765625,64,22:28:51.000Z,59.85009765625,6,22.31411140950521
2021-05-18T22:28:56.000Z,32.8773588873446,-117.14895185083151,2533.669921875,61,22:28:56.000Z,58.159912109375,5,26.020744677734374
2021-05-18T22:29:01.000Z,32.8772293869406,-117.14958133175969,2594.320068359375,61,22:29:01.000Z,60.650146484375,5,27.134875537109377
2021-05-18T22:29:06.000Z,32.87699393928051,-117.15011333115399,2650.81005859375,62,22:29:06.000Z,56.489990234375,5,25.273621630859374
2021-05-18T22:29:10.000Z,32.87672135978937,-117.15042782016098,2693.14990234375,63,22:29:10.000Z,42.33984375,4,23.6785576171875
2021-05-18T22:29:15.000Z,32.87632891908288,-117.15069386176765,2743.31005859375,65,22:29:15.000Z,50.16015625,5,22.44165390625
2021-05-18T22:29:21.000Z,32.87595952861011,-117.15100415982306,2793.60009765625,65,22:29:21.000Z,50.2900390625,6,18.749802897135417
2021-05-18T22:29:23.000Z,32.87586757913232,-117.15111932717264,2808.43994140625,65,22:29:23.000Z,14.83984375,2,16.598365234375002
2021-05-18T22:29:30.000Z,32.87562106736004,-117.15167278423905,2867.239990234375,66,22:29:30.000Z,58.800048828125,7,18.79081560407366
2021-05-18T22:29:35.000Z,32.87545091472566,-117.15220503509045,2920.5,65,22:29:35.000Z,53.260009765625,5,23.828528369140624
2021-05-18T22:29:39.000Z,32.87531445734203,-117.15266444720328,2966.1201171875,62,22:29:39.000Z,45.6201171875,4,25.513050537109375
2021-05-18T22:29:40.000Z,32.875297190621495,-117.15279277414083,2978.280029296875,62,22:29:40.000Z,12.159912109375,1,27.201723388671876
2021-05-18T22:29:44.000Z,32.875299621373415,-117.15334849432111,3030.31005859375,62,22:29:44.000Z,52.030029296875,4,29.097793884277344
2021-05-18T22:29:48.000Z,32.87530263885856,-117.15390857309103,3082.72998046875,63,22:29:48.000Z,52.419921875,4,29.31584130859375
2021-05-18T22:29:52.000Z,32.87539458833635,-117.1544663887471,3135.9599609375,63,22:29:52.000Z,53.22998046875,4,29.76886657714844
2021-05-18T22:29:54.000Z,32.875455021858215,-117.15472958050668,3161.469970703125,68,22:29:54.000Z,25.510009765625,2,28.532945922851564
2021-05-18T22:29:55.000Z,32.875489220023155,-117.15482773259282,3171.27001953125,68,22:29:55.000Z,9.800048828125,1,21.922709228515625
2021-05-18T22:29:57.000Z,32.87556608207524,-117.15498137287796,3187.68994140625,69,22:29:57.000Z,16.419921875,2,18.365682617187503
2021-05-18T22:30:00.000Z,32.8757200576365,-117.15503560379148,3204.4599609375,69,22:30:00.000Z,16.77001953125,3,12.504844563802084
2021-05-18T22:30:03.000Z,32.87590764462948,-117.15485757216811,3230.090087890625,69,22:30:03.000Z,25.630126953125,3,19.111531331380206
2021-05-18T22:30:09.000Z,32.876272927969694,-117.15442129410803,3287.68994140625,69,22:30:09.000Z,57.599853515625,6,21.475145385742188
2021-05-18T22:30:11.000Z,32.87636655382812,-117.154257344082,3306.22998046875,69,22:30:11.000Z,18.5400390625,2,20.73703369140625
2021-05-18T22:30:15.000Z,32.876568557694554,-117.15395375154912,3343.06005859375,69,22:30:15.000Z,36.830078125,4,20.597221191406252
2021-05-18T22:30:17.000Z,32.87672613747418,-117.15388191863894,3361.800048828125,69,22:30:17.000Z,18.739990234375,2,20.960679077148438
2021-05-18T22:30:22.000Z,32.87716434337199,-117.15372668579221,3412.639892578125,68,22:30:22.000Z,50.83984375,5,22.74574609375
2021-05-18T22:30:26.000Z,32.877462320029736,-117.15349962003529,3452.02001953125,65,22:30:26.000Z,39.380126953125,4,22.023335998535156
2021-05-18T22:30:27.000Z,32.87753909826279,-117.15343742631376,3462.320068359375,65,22:30:27.000Z,10.300048828125,1,23.041209228515626
2021-05-18T22:30:29.000Z,32.87771746516228,-117.15335142798722,3483.780029296875,65,22:30:29.000Z,21.4599609375,2,24.002966308593752
2021-05-18T22:30:33.000Z,32.87816120311618,-117.15323223732412,3534.239990234375,65,22:30:33.000Z,50.4599609375,4,28.219733154296875
2021-05-18T22:30:35.000Z,32.87840511649847,-117.15321228839457,3561.39990234375,65,22:30:35.000Z,27.159912109375,2,30.37836169433594
2021-05-18T22:30:40.000Z,32.878919346258044,-117.15336768887937,3620.6201171875,64,22:30:40.000Z,59.22021484375,5,26.49512412109375
2021-05-18T22:30:43.000Z,32.87910467013717,-117.15357447043061,3648.6298828125,64,22:30:43.000Z,28.009765625,3,20.885948567708333
2021-05-18T22:30:49.000Z,32.879463750869036,-117.15397529304028,3703.449951171875,67,22:30:49.000Z,54.820068359375,6,20.43874881998698
2021-05-18T22:30:54.000Z,32.879839930683374,-117.15429070405662,3754.56005859375,67,22:30:54.000Z,51.110107421875,5,22.866662060546876
2021-05-18T22:31:00.000Z,32.88022482767701,-117.15461525134742,3806.949951171875,66,22:31:00.000Z,52.389892578125,6,19.532698282877607
2021-05-18T22:31:02.000Z,32.88031325675547,-117.15466344729066,3817.760009765625,66,22:31:02.000Z,10.81005859375,2,12.091050537109375
